2019-06-11-21-41-38.441026 33 48 0 0
2019-06-11-21-41-38.482668 -54 88 0 0
2019-06-11-21-41-38.516129 -58 8 0 0
2019-06-11-21-41-38.552051 -55 28 0 0
2019-06-11-21-41-38.588085 -55 28 0 0
2019-06-11-21-41-38.625725 55 58 0 0
2019-06-11-21-41-38.660992 1 78 0 0
2019-06-11-21-41-38.696608 48 98 0 0
2019-06-11-21-41-38.730504 -19 18 0 0
2019-06-11-21-41-38.764146 -34 38 0 0
2019-06-11-21-41-38.796772 89 58 0 0
2019-06-11-21-41-38.829697 -4 78 0 0
2019-06-11-21-41-38.861403 -4 78 0 0
2019-06-11-21-41-38.897614 -4 78 0 0
2019-06-11-21-41-38.931347 -51 88 0 0
2019-06-11-21-41-38.967195 119 38 0 0
2019-06-11-21-41-39.003904 -90 58 0 0
2019-06-11-21-41-39.038078 -164 78 0 0
2019-06-11-21-41-39.071166 -40 98 0 0
2019-06-11-21-41-39.104387 144 18 0 0
2019-06-11-21-41-39.145930 -87 32 0 0
2019-06-11-21-41-39.179199 -107 38 0 0
2019-06-11-21-41-39.208684 -92 68 0 0
2019-06-11-21-41-39.244451 -66 78 0 0
2019-06-11-21-41-39.278794 -34 98 0 0
2019-06-11-21-41-39.315981 -54 18 0 0
2019-06-11-21-41-39.347954 26 38 0 0
2019-06-11-21-41-39.382286 10 57 0 0
2019-06-11-21-41-39.416587 50 77 0 0
2019-06-11-21-41-39.451290 54 87 0 0
2019-06-11-21-41-39.495158 21 7 0 0
2019-06-11-21-41-39.533048 25 27 0 0
2019-06-11-21-41-39.570709 20 47 0 0
2019-06-11-21-41-39.608697 27 67 0 0
2019-06-11-21-41-39.643368 8 87 0 0
2019-06-11-21-41-39.679754 32 7 0 0
2019-06-11-21-41-39.715466 6 27 0 0
2019-06-11-21-41-39.751221 98 47 0 0
2019-06-11-21-41-39.785774 98 47 0 0
2019-06-11-21-41-39.819913 27 87 0 0
2019-06-11-21-41-39.854421 20 7 0 0
2019-06-11-21-41-39.891046 21 27 0 0
2019-06-11-21-41-39.931656 27 37 0 0
2019-06-11-21-41-39.963420 39 57 0 0
2019-06-11-21-41-39.998453 -17 67 0 0
2019-06-11-21-41-40.036295 -22 87 0 0
2019-06-11-21-41-40.070599 25 7 0 0
2019-06-11-21-41-40.107983 25 7 0 0
2019-06-11-21-41-40.141927 519 37 0 0
2019-06-11-21-41-40.171466 119 57 0 0
2019-06-11-21-41-40.204008 -190 87 0 0
2019-06-11-21-41-40.239843 -216 97 0 0
2019-06-11-21-41-40.282532 -177 17 0 0
2019-06-11-21-41-40.317579 2 47 0 0
2019-06-11-21-41-40.353804 38 57 0 0
2019-06-11-21-41-40.389798 85 67 0 0
2019-06-11-21-41-40.422639 2 97 0 0
2019-06-11-21-41-40.459991 112 7 0 0
2019-06-11-21-41-40.496075 102 27 0 0
2019-06-11-21-41-40.535354 34 47 0 0
2019-06-11-21-41-40.573497 48 67 0 0
2019-06-11-21-41-40.610572 48 87 0 0
2019-06-11-21-41-40.645022 58 7 0 0
2019-06-11-21-41-40.676271 58 27 0 0
2019-06-11-21-41-40.721725 91 33 0 0
2019-06-11-21-41-40.757665 -23 77 0 0
2019-06-11-21-41-40.799997 51 87 0 0
2019-06-11-21-41-40.835366 42 97 0 0
2019-06-11-21-41-40.874184 -9 17 0 0
2019-06-11-21-41-40.910323 36 37 0 0
2019-06-11-21-41-40.962112 -124 57 0 0
2019-06-11-21-41-41.001185 -104 77 0 0
2019-06-11-21-41-41.038517 -74 7 0 0
2019-06-11-21-41-41.076166 -6 27 0 0
2019-06-11-21-41-41.110823 81 47 0 0
2019-06-11-21-41-41.145886 275 67 0 0
2019-06-11-21-41-41.181285 -10 87 0 0
2019-06-11-21-41-41.211084 119 7 0 0
2019-06-11-21-41-41.245826 119 7 0 0
2019-06-11-21-41-41.283034 42 27 0 0
2019-06-11-21-41-41.325377 -132 47 0 0
2019-06-11-21-41-41.365515 -264 75 0 0
2019-06-11-21-41-41.399247 331 6 30 0
2019-06-11-21-41-41.428994 152 26 30 0
2019-06-11-21-41-41.465312 152 26 30 0
2019-06-11-21-41-41.497234 10 46 30 0
2019-06-11-21-41-41.530146 390 66 30 0
2019-06-11-21-41-41.564273 91 86 30 0
2019-06-11-21-41-41.597862 91 86 30 0
2019-06-11-21-41-41.630427 257 26 30 0
2019-06-11-21-41-41.659173 151 46 30 0
2019-06-11-21-41-41.710225 151 46 30 0
2019-06-11-21-41-41.741146 281 86 30 0
2019-06-11-21-41-41.775282 251 96 30 0
2019-06-11-21-41-41.807214 377 6 30 0
2019-06-11-21-41-41.844139 330 26 30 0
2019-06-11-21-41-41.871854 -184 46 30 0
2019-06-11-21-41-41.906341 135 63 30 0
2019-06-11-21-41-41.948366 -13 75 30 0
2019-06-11-21-41-41.984508 70 6 30 0
2019-06-11-21-41-42.019180 81 26 30 0
2019-06-11-21-41-42.054722 -25 46 30 0
2019-06-11-21-41-42.087470 105 56 30 0
2019-06-11-21-41-42.126380 105 56 30 0
